trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-226.99829628142132,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 4}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,2,-121.35328358571589,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 2}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-129.01099523784757,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,17,-24.706282963112493,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-258.74828928912945,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-126.91260830596259,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,2,-108.18583724988173,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-35.33667567939258,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-9.756954107320652,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-257.9255919781815,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 5}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-109.42597051810421,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-142.69607780308598,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-57.20530264626354,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-199.29015614303563,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,14,7.689861639349827,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-57.549868822898404,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-74.16381440349447,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-21.430444459038224,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-59.02921427633707,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,9,-25.282916264640136,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-24.58607434537688,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-87.89032678950039,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-140.568365702648,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-71.19801922976349,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-92.85612646938509,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,1,-141.10283643725705,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 3}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,12,-151.0605802076493,"{0: 5, 1: 0, 2: 4, 3: 2, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-110.7268396494515,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,15,-60.63618488505016,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-133.54144491259837,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,14,-29.43807186100755,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-56.40261393789946,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-66.84273797385039,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",30,2,-91.50374747766058,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-112.41676620051244,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,14,-6.262152537351987,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-88.31966245145775,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-31.91317744758661,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,10,-2.8030063836211476,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-68.40103802519376,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-20.202951891461606,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,0,-68.96216796645909,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,9,16.797504013052674,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,9,-3.79360005036502,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,0,-48.63596591754655,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,12,-82.45903231706608,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 1}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,7,-62.742301308996765,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-24.221667667954474,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",35,0,-142.68780018356514,"{0: 24, 1: 5, 2: 3, 3: 0, 4: 3}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-54.221722252661046,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-25.78431933418714,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,10,-3.066134637070176,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-157.8976628832668,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-122.37231798127354,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-92.59503333043318,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,0,-18.02745878854411,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-53.173555678927514,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,13,3.1069566733136424,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-36.70073538917391,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,8,10.084234692045209,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",35,0,-47.362032702723475,"{0: 27, 1: 3, 2: 3, 3: 2, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,14,9.168240839680022,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,17,5.336231941181368,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,16,7.13765015877604,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,13,13.281905111312582,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,4,-20.87440400283769,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,10,-3.0724301694255454,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,0,-52.72621072737564,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,18,-64.53945470269835,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,7,-15.637117553200952,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,13,-59.55143303616415,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,12,-9.694026361853746,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,10,-41.98157937717252,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,3,30.850060220209393,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,12,-7.312500517730964,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,1,-65.22184935442603,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,18,12.495808634356825,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,0,-20.051414769171394,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,0,2.559942943080671,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,16,6.3833417248894655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-1.9582525666497625,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,13,-6.516612672836117,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,15,1.5209172151679784,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,13,-3.5487309056710745,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,9,-27.82871715856805,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,7,7.94082671248858,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,18,13.033806982989121,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",35,0,-11.519156826266032,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",30,14,-17.92086656228845,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,9,-57.95994940402935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
